place;name;team;games;avg_kegel;mp;plus_ae
1;Dieter Stannies;KSC II (g);6;505,3;6,5;3
2;Ulrich Zöllner;Ferns (M);7;503,4;10,5;0
3;Michael Bernstein;SempAdW IV (g);7;503,3;6,0;1
4;Jens Michaelis;KSC II (g);5;502,8;4,5;0
5;Gerhard Fischer;SempAdW III (M);5;502,4;8,0;0
6;Karsten Schröter;KSC II (g);9;496,4;12,5;0
7;Reinhard Kindlein;Ferns (M);5;487,8;6,5;1
8;Hartmuth Körner;KSC III (g);7;487,4;12,0;1
9;Rainer Schürer;KSC III (g);8;482,4;12,0;0
10;Torsten Wudtke;SempAdW III (M);6;482,2;10,0;0
11;Horst Kühnel;Ferns (M);4;477,0;0,5;2
12;Benjamin Lück;SempAdW III (M);5;475,6;6,5;0
13;Ingrid Voigt (E);KSC;6;474,8;6,5;0
14;Jörg Merkin;Ferns (M);5;468,0;5,5;2
15;Maja Bordasch;KSC III (g);6;466,0;3,0;0
16;Frank Koeckert;Ferns (M);4;464,0;5,0;1
17;Uwe Seidel;SempAdW IV (g);9;439,9;3,0;0
18;Carola Brückner;SempAdW IV (g);1;433,0;0,0;5
19;Wolfgang Krueger;SempAdW IV (g);4;414,3;1,0;1
