place;name;team;games;avg_kegel;mp;plus_ae
1;René Horter (EO);KSC;1;540,0;1,0;0
2;Mayuran Vivekananthan (E;KSC;2;525,5;2,0;0
3;Horst Kühnel;Ferns (M);1;523,0;0,5;1
4;Emilian Liss;SempAdW IV (g);1;517,0;1,0;0
5;Uwe Schubart;SempAdW III (M);1;517,0;0,0;0
6;Dieter Stannies;KSC II (g);2;514,5;1,0;2
7;Michael Bernstein;SempAdW IV (g);2;511,0;2,0;1
8;Gerhard Fischer;SempAdW III (M);3;507,7;3,0;0
9;Jens Michaelis;KSC II (g);3;507,3;2,0;0
10;Jan Rechenberger (EO);KSC;1;506,0;1,0;0
11;Karsten Schröter;KSC II (g);4;502,8;1,5;0
12;Benjamin Lück;SempAdW III (M);3;501,0;1,0;0
12;Ulrich Zöllner;Ferns (M);3;501,0;1,0;0
14;Heiko Richter (EO);SempAdW;1;499,0;0,0;0
15;Rainer Dähne;SempAdW IV (g);3;495,0;2,0;0
16;Hartmuth Körner;KSC III (g);2;493,0;1,0;2
17;Ingrid Voigt (E);KSC;1;489,0;1,0;0
18;Reinhard Kindlein;Ferns (M);4;485,5;2,0;0
19;Wilfried Goldner;Ferns (M);2;484,0;2,0;1
20;Peggy Zenker;SempAdW IV (g);1;478,0;0,0;0
21;Torsten Wudtke;SempAdW III (M);3;476,3;2,0;0
22;Ralf Mahneke;KSC II (g);1;476,0;1,0;1
23;Thomas Gross (EO);KSC;2;475,5;1,0;0
24;Uwe Eggert;Semp/AdW IV (g);1;472,0;0,0;0
25;Jörg Merkin;Ferns (M);2;467,5;0,5;0
26;Maja Bordasch;KSC III (g);4;463,5;2,0;0
27;Rainer Schürer;KSC III (g);3;463,0;2,0;0
28;Frank Koeckert;Ferns (M);3;461,7;2,0;0
29;Uwe Gattner;Semp/AdW IV (g);2;459,5;1,5;0
30;Anni Noack (EO);Semp/AdW IV (g);2;441,5;1,0;0
31;Robert Schild (E);KSC;1;439,0;0,0;2
32;Uwe Seidel;SempAdW IV (g);4;415,0;0,0;0
33;Wolfgang Krueger;SempAdW IV (g);1;365,0;0,0;1
34;Carola Brückner;SempAdW IV (g);0;0,0;0,0;3
34;Ellen Erlemann;KSC III (g);0;0,0;0,0;1
34;Patricia Berg;SempAdW IV (g);0;0,0;0,0;2
34;Peter Mahr (E);KSC;0;0,0;0,0;1
34;Roger Horter;KSC II (g);0;0,0;0,0;1
34;Theodor Gorks;Semp/AdW IV (g);0;0,0;0,0;1
