place;name;team;games;avg_kegel;mp;plus_ae
1;Dirk Uhlig (EO);KSC;1;562,0;3,0;0
2;Jan Rechenberger (EO);KSC;2;535,5;2,0;0
3;Christian Riedrich;SempAdW III (M);1;528,0;1,0;0
4;Gerald Noack;Semp/AdW IV (g);1;526,0;1,0;0
5;René Horter (EO);KSC;2;517,5;4,0;1
6;Emilian Liss;SempAdW IV (g);1;517,0;3,5;0
7;Mayuran Vivekananthan;KSC;3;515,3;8,0;0
8;Jens Michaelis;KSC II (g);3;507,3;4,5;0
9;Ulrich Zöllner;Ferns (M);6;505,8;8,5;0
10;Michael Bernstein;SempAdW IV (g);6;504,2;6,0;1
11;Karsten Schröter;KSC II (g);7;503,7;12,5;0
12;Gerhard Fischer;SempAdW III (M);5;502,4;8,0;0
13;Uwe Schubart;SempAdW III (M);2;501,5;2,0;0
14;Dieter Stannies;KSC II (g);5;500,8;6,5;2
15;Heiko Richter (EO);SempAdW;2;499,0;1,5;0
16;Rainer Dähne;SempAdW IV (g);4;496,8;9,0;0
17;Peggy Zenker;SempAdW IV (g);2;491,5;2,0;0
18;Hartmuth Körner;KSC III (g);5;490,6;11,0;1
19;Reinhard Kindlein;Ferns (M);4;485,5;6,5;0
20;Benjamin Lück;SempAdW III (M);4;484,5;3,0;0
21;Torsten Wudtke;SempAdW III (M);5;484,2;8,0;0
22;Wilfried Goldner;Ferns (M);2;484,0;7,0;1
23;Hans-Jürgen Wahl;Ferns (M);3;483,7;1,0;0
24;Janina Zinow;SempAdW IV (g);1;483,0;1,0;0
25;Ingrid Voigt (E);KSC;4;478,0;6,5;0
26;Rainer Schürer;KSC III (g);6;477,2;11,0;0
27;Horst Kühnel;Ferns (M);3;476,3;0,5;2
28;Maja Bordasch;KSC III (g);5;475,6;3,0;0
29;Thomas Gross (EO);KSC;2;475,5;2,0;0
30;Uwe Gattner;Semp/AdW IV (g);3;474,0;3,5;0
31;Ralf Mahneke;KSC II (g);2;472,0;2,0;1
31;Roger Horter;KSC II (g);2;472,0;3,0;0
31;Uwe Eggert;Semp/AdW IV (g);1;472,0;0,0;0
34;Stephanie Weckeck;SempAdW IV (g);1;471,0;3,0;1
35;Jörg Merkin;Ferns (M);4;465,3;4,5;1
36;Frank Koeckert;Ferns (M);4;464,0;5,0;0
37;Lutz Frömming;SempAdW IV (g);1;443,0;1,0;0
38;Anni Noack (EO);Semp/AdW IV (g);2;441,5;2,0;0
39;Robert Schild (E);KSC;1;439,0;0,0;2
40;Patricia Berg;SempAdW IV (g);1;436,0;1,0;3
41;Uwe Seidel;SempAdW IV (g);8;435,1;3,0;0
42;Lennard Sdrojek (E);KSC;1;423,0;1,0;0
43;Wolfgang Krueger;SempAdW IV (g);3;403,3;1,0;1
44;Carola Brückner;SempAdW IV (g);0;0,0;0,0;5
44;Ellen Erlemann;KSC III (g);0;0,0;0,0;1
44;Theodor Gorks;Semp/AdW IV (g);0;0,0;0,0;1
