place;name;team;games;avg_kegel;mp;plus_ae
1;Jan Rechenberger (EO);KSC;2;535,5;2,0;0
2;Mayuran Vivekananthan;KSC;2;525,5;2,0;0
3;Horst Kühnel;Ferns (M);1;523,0;0,5;1
4;Michael Bernstein;SempAdW IV (g);3;518,3;3,0;1
5;René Horter (EO);KSC;2;517,5;1,0;0
6;Emilian Liss;SempAdW IV (g);1;517,0;1,0;0
6;Uwe Schubart;SempAdW III (M);1;517,0;0,0;0
8;Dieter Stannies;KSC II (g);3;512,0;1,0;2
9;Gerhard Fischer;SempAdW III (M);3;507,7;3,0;0
10;Jens Michaelis;KSC II (g);3;507,3;2,0;0
11;Karsten Schröter;KSC II (g);5;504,6;2,5;0
12;Hartmuth Körner;KSC III (g);3;501,3;2,0;2
13;Benjamin Lück;SempAdW III (M);3;501,0;1,0;0
13;Ulrich Zöllner;Ferns (M);3;501,0;1,0;0
15;Heiko Richter (EO);SempAdW;2;499,0;0,0;0
16;Roger Horter;KSC II (g);1;498,0;0,0;1
17;Rainer Dähne;SempAdW IV (g);3;495,0;2,0;0
18;Peggy Zenker;SempAdW IV (g);2;491,5;1,0;0
19;Reinhard Kindlein;Ferns (M);4;485,5;2,0;0
20;Torsten Wudtke;SempAdW III (M);4;485,0;3,0;0
21;Wilfried Goldner;Ferns (M);2;484,0;2,0;1
22;Ingrid Voigt (E);KSC;2;482,5;1,0;0
23;Ralf Mahneke;KSC II (g);1;476,0;1,0;1
24;Maja Bordasch;KSC III (g);5;475,6;3,0;0
25;Thomas Gross (EO);KSC;2;475,5;1,0;0
26;Uwe Gattner;Semp/AdW IV (g);3;474,0;1,5;0
27;Uwe Eggert;Semp/AdW IV (g);1;472,0;0,0;0
28;Jörg Merkin;Ferns (M);2;467,5;0,5;0
29;Rainer Schürer;KSC III (g);3;463,0;2,0;0
30;Frank Koeckert;Ferns (M);3;461,7;2,0;0
31;Anni Noack (EO);Semp/AdW IV (g);2;441,5;1,0;0
32;Robert Schild (E);KSC;1;439,0;0,0;2
33;Patricia Berg;SempAdW IV (g);1;436,0;1,0;2
34;Uwe Seidel;SempAdW IV (g);5;424,8;0,0;0
35;Wolfgang Krueger;SempAdW IV (g);2;393,5;0,0;1
36;Carola Brückner;SempAdW IV (g);0;0,0;0,0;3
36;Ellen Erlemann;KSC III (g);0;0,0;0,0;1
36;Peter Mahr (E);KSC;0;0,0;0,0;1
36;Theodor Gorks;Semp/AdW IV (g);0;0,0;0,0;1
