place;name;team;games;avg_kegel;mp;plus_ae
1;Dirk Uhlig (EO);KSC;1;562,0;3,0;0
2;Jan Rechenberger (EO);KSC;2;535,5;2,0;0
3;Gerald Noack;Semp/AdW IV (g);1;526,0;1,0;0
4;René Horter (EO);KSC;2;517,5;4,0;1
5;Emilian Liss;SempAdW IV (g);1;517,0;3,5;0
6;Mayuran Vivekananthan;KSC;3;515,3;8,0;0
7;Michael Bernstein;SempAdW IV (g);6;504,2;6,0;1
8;Ulrich Zöllner;Ferns (M);7;503,4;10,5;0
9;Gerhard Fischer;SempAdW III (M);5;502,4;8,0;0
10;Dieter Stannies;KSC II (g);5;500,8;6,5;3
11;Jens Michaelis;KSC II (g);4;500,5;4,5;0
12;Heiko Richter (EO);SempAdW;2;499,0;1,5;0
12;Karsten Schröter;KSC II (g);8;499,0;12,5;0
14;Rainer Dähne;SempAdW IV (g);4;496,8;9,0;0
15;Peggy Zenker;SempAdW IV (g);2;491,5;2,0;0
16;Wilfried Goldner;Ferns (M);3;486,0;10,0;1
17;Reinhard Kindlein;Ferns (M);4;485,5;6,5;1
18;Hartmuth Körner;KSC III (g);6;485,2;12,0;1
19;Hans-Jürgen Wahl;Ferns (M);3;483,7;1,0;0
19;Uwe Schubart;SempAdW III (M);3;483,7;3,0;0
21;Janina Zinow;SempAdW IV (g);1;483,0;1,0;0
22;Torsten Wudtke;SempAdW III (M);6;482,2;10,0;0
23;Christian Riedrich;SempAdW III (M);2;480,5;2,0;0
24;Horst Kühnel;Ferns (M);3;476,3;0,5;2
25;Rainer Schürer;KSC III (g);7;475,7;12,0;0
26;Benjamin Lück;SempAdW III (M);5;475,6;6,5;0
27;Thomas Gross (EO);KSC;2;475,5;2,0;0
28;Uwe Gattner;Semp/AdW IV (g);3;474,0;3,5;0
29;Ingrid Voigt (E);KSC;5;473,6;6,5;0
30;Roger Horter;KSC II (g);2;472,0;3,0;1
30;Uwe Eggert;Semp/AdW IV (g);1;472,0;0,0;0
32;Stephanie Weckeck;SempAdW IV (g);1;471,0;3,0;1
33;Jörg Merkin;Ferns (M);5;468,0;5,5;1
34;Ralf Mahneke;KSC II (g);3;467,0;3,0;1
35;Maja Bordasch;KSC III (g);6;466,0;3,0;0
36;Frank Koeckert;Ferns (M);4;464,0;5,0;1
37;Lutz Frömming;SempAdW IV (g);1;443,0;1,0;0
38;Anni Noack (EO);Semp/AdW IV (g);2;441,5;2,0;0
39;Robert Schild (E);KSC;1;439,0;0,0;2
40;Patricia Berg;SempAdW IV (g);1;436,0;1,0;3
41;Uwe Seidel;SempAdW IV (g);8;435,1;3,0;0
42;Lennard Sdrojek (E);KSC;1;423,0;1,0;0
43;Wolfgang Krueger;SempAdW IV (g);3;403,3;1,0;1
44;Carola Brückner;SempAdW IV (g);0;0,0;0,0;5
44;Ellen Erlemann;KSC III (g);0;0,0;0,0;1
44;Theodor Gorks;Semp/AdW IV (g);0;0,0;0,0;1
